,Pais,Promedio de suicidios/100k,Prom suicidios femeninos /100k,GDP promedio,HDI/year promedio,Prom suicidios masculinos /100k,E5_14,E15_24,E25_34,E35_54,E55_74,E75+,GIGen,Silent,Boomers,GenX,Millenials,GenZ
0,Albania,3.5,1859.05,0.67,2.42,4.59,0.43,4.51,4.28,3.64,3.09,5.06,4.47,3.83,3.38,4.63,1.63,0.68
1,Antigua and Barbuda,0.55,10448.19,0.78,0.1,1.01,0.0,0.0,0.28,1.17,1.87,0.0,0.0,1.42,1.24,0.0,0.0,0.0
2,Argentina,10.47,7914.1,0.78,3.8,17.14,0.68,8.85,7.79,8.53,13.23,23.73,25.11,14.74,7.96,6.21,6.63,0.86
3,Armenia,3.28,1873.92,0.69,1.61,4.94,0.2,1.25,2.18,3.27,4.95,7.69,7.07,6.48,3.34,1.9,0.9,0.29
4,Aruba,9.5,24221.64,,3.29,15.72,0.0,4.06,13.09,9.68,10.64,19.55,76.58,7.14,10.34,12.02,2.21,0.0
5,Australia,12.99,32776.4,0.91,5.31,20.67,0.39,13.06,17.14,16.37,13.49,17.5,19.05,13.92,16.09,14.35,6.59,0.5
6,Austria,23.76,34261.78,0.85,10.32,37.2,0.5,12.61,16.05,22.78,29.75,60.13,62.65,37.21,22.32,13.17,5.77,0.43
7,Azerbaijan,1.86,1005.12,0.62,1.02,2.69,0.22,1.3,1.63,2.26,2.68,3.04,2.62,3.06,2.12,1.26,0.57,0.28
8,Bahamas,1.25,25836.39,0.78,0.36,2.14,0.15,1.25,1.8,2.57,1.01,0.7,0.0,1.21,2.27,1.56,0.88,0.25
9,Bahrain,1.85,18039.52,0.8,0.87,2.84,0.13,1.7,4.68,3.18,1.43,0.0,0.42,1.21,3.26,3.07,1.28,0.24
10,Barbados,2.97,12251.0,0.76,0.93,5.01,0.18,1.93,3.8,4.99,4.18,2.75,5.06,3.81,4.83,2.45,0.08,0.0
11,Belarus,31.08,3333.9,0.77,9.39,52.76,1.17,17.63,33.46,44.29,44.56,45.34,43.78,46.97,41.54,27.62,10.41,0.94
12,Belgium,21.24,32066.74,0.86,10.42,32.06,0.56,10.82,18.85,27.14,26.61,43.45,48.2,28.18,24.88,14.73,6.54,0.51
13,Belize,6.23,4006.46,0.7,1.46,11.0,0.59,6.23,7.54,7.6,6.53,8.89,7.58,6.91,7.25,6.19,5.39,0.86
14,Bosnia and Herzegovina,4.62,5077.5,0.73,1.83,7.4,0.11,0.75,2.3,5.84,6.62,12.08,,12.08,6.62,5.84,1.52,0.11
15,Brazil,5.85,6091.48,0.69,2.12,9.57,0.28,4.33,5.8,6.4,7.23,11.04,10.46,8.05,6.22,4.61,3.05,0.36
16,Bulgaria,19.49,3640.43,0.74,9.75,29.23,0.95,7.39,9.59,14.91,24.17,59.93,62.29,29.53,14.57,8.2,3.55,0.3
17,Cabo Verde,11.15,4124.0,,2.65,19.65,2.62,5.25,9.31,21.16,8.4,20.18,,20.18,8.4,21.16,7.28,2.62
18,Canada,12.47,30887.48,0.88,5.11,19.82,0.86,12.89,14.76,17.28,14.25,14.76,16.67,13.84,17.19,12.35,5.89,0.81
19,Chile,10.54,7493.06,0.77,2.86,18.23,0.65,9.45,11.39,11.78,12.93,17.06,14.13,14.58,11.09,9.22,7.26,0.92
